id,full_name,root_name,meta_suffix
1079,Bookshelf|meta|rot4|books4,Bookshelf,meta|rot4|books4
1080,Bookshelf|meta|rot1|books5,Bookshelf,meta|rot1|books5
1081,Bookshelf|meta|rot2|books5,Bookshelf,meta|rot2|books5
1082,Bookshelf|meta|rot3|books5,Bookshelf,meta|rot3|books5
1083,Bookshelf|meta|rot4|books5,Bookshelf,meta|rot4|books5
1084,Mailbox,Mailbox,
1085,Mailbox|meta|rot2|empty,Mailbox,meta|rot2|empty
1086,Mailbox|meta|rot3|empty,Mailbox,meta|rot3|empty
1087,Mailbox|meta|rot4|empty,Mailbox,meta|rot4|empty
1088,Mailbox|meta|rot1|full,Mailbox,meta|rot1|full
1089,Mailbox|meta|rot2|full,Mailbox,meta|rot2|full
1090,Mailbox|meta|rot3|full,Mailbox,meta|rot3|full
1091,Mailbox|meta|rot4|full,Mailbox,meta|rot4|full
1092,Rice,Rice,
1093,Rice_stage1,Rice_stage1,
1094,Rice_stage2,Rice_stage2,
1095,Rice_stage3,Rice_stage3,
1096,Rice_stage4,Rice_stage4,
1097,Rice_stage5,Rice_stage5,
1098,Rice|FreshlyGrown,Rice,FreshlyGrown
1099,Cranberries,Cranberries,
1100,Cranberries_stage1,Cranberries_stage1,
1101,Cranberries_stage2,Cranberries_stage2,
1102,Red Mushroom,Red Mushroom,
1103,Brown Mushroom,Brown Mushroom,
1104,Cotton Seeds,Cotton Seeds,
1105,Cotton_stage1,Cotton_stage1,
1106,Cotton_stage2,Cotton_stage2,
1107,Cotton_stage3,Cotton_stage3,
1108,Tribe Protector,Tribe Protector,
1109,Tall Grass,Tall Grass,
1110,Tall Grass|Top,Tall Grass,Top
1111,Faction Protector,Faction Protector,
1112,Barkless Palm Log,Barkless Palm Log,
1113,Barkless Pear Log,Barkless Pear Log,
1114,Barkless Maple Log|TreeBase|Maple,Barkless Maple Log,TreeBase|Maple
1115,Barkless Plum Log|TreeBase|Plum,Barkless Plum Log,TreeBase|Plum
1116,Barkless Cedar Log|TreeBase|Cedar,Barkless Cedar Log,TreeBase|Cedar
1117,Barkless Aspen Log|TreeBase|Aspen,Barkless Aspen Log,TreeBase|Aspen
1118,Barkless Jungle Log|TreeBase|Jungle,Barkless Jungle Log,TreeBase|Jungle
1119,Barkless Pine Log|TreeBase|Pine,Barkless Pine Log,TreeBase|Pine
1120,Barkless Palm Log|TreeBase|Palm,Barkless Palm Log,TreeBase|Palm
1121,Barkless Pear Log|TreeBase|Pear,Barkless Pear Log,TreeBase|Pear
1122,Mystery Block,Mystery Block,
1123,Rocket,Rocket,
1124,Super Rocket,Super Rocket,
1125,Yellow Concrete Slab,Yellow Concrete Slab,
1126,Yellow Concrete Slab|meta|rot1|top,Yellow Concrete Slab,meta|rot1|top
1127,Yellow Concrete Slab|meta|rot1|side,Yellow Concrete Slab,meta|rot1|side
1128,Yellow Concrete Slab|meta|rot2|side,Yellow Concrete Slab,meta|rot2|side
1129,Yellow Concrete Slab|meta|rot3|side,Yellow Concrete Slab,meta|rot3|side
1130,Yellow Concrete Slab|meta|rot4|side,Yellow Concrete Slab,meta|rot4|side
1131,White Concrete Slab,White Concrete Slab,
1132,White Concrete Slab|meta|rot1|top,White Concrete Slab,meta|rot1|top
1133,White Concrete Slab|meta|rot1|side,White Concrete Slab,meta|rot1|side
1134,White Concrete Slab|meta|rot2|side,White Concrete Slab,meta|rot2|side
1135,White Concrete Slab|meta|rot3|side,White Concrete Slab,meta|rot3|side
1136,White Concrete Slab|meta|rot4|side,White Concrete Slab,meta|rot4|side
1137,Red Concrete Slab,Red Concrete Slab,
1138,Red Concrete Slab|meta|rot1|top,Red Concrete Slab,meta|rot1|top
1139,Red Concrete Slab|meta|rot1|side,Red Concrete Slab,meta|rot1|side
1140,Red Concrete Slab|meta|rot2|side,Red Concrete Slab,meta|rot2|side
1141,Red Concrete Slab|meta|rot3|side,Red Concrete Slab,meta|rot3|side
1142,Red Concrete Slab|meta|rot4|side,Red Concrete Slab,meta|rot4|side
1143,Purple Concrete Slab,Purple Concrete Slab,
1144,Purple Concrete Slab|meta|rot1|top,Purple Concrete Slab,meta|rot1|top
1145,Purple Concrete Slab|meta|rot1|side,Purple Concrete Slab,meta|rot1|side
1146,Purple Concrete Slab|meta|rot2|side,Purple Concrete Slab,meta|rot2|side
1147,Purple Concrete Slab|meta|rot3|side,Purple Concrete Slab,meta|rot3|side
1148,Purple Concrete Slab|meta|rot4|side,Purple Concrete Slab,meta|rot4|side
1149,Pink Concrete Slab,Pink Concrete Slab,
1150,Pink Concrete Slab|meta|rot1|top,Pink Concrete Slab,meta|rot1|top
1151,Pink Concrete Slab|meta|rot1|side,Pink Concrete Slab,meta|rot1|side
1152,Pink Concrete Slab|meta|rot2|side,Pink Concrete Slab,meta|rot2|side
1153,Pink Concrete Slab|meta|rot3|side,Pink Concrete Slab,meta|rot3|side
1154,Pink Concrete Slab|meta|rot4|side,Pink Concrete Slab,meta|rot4|side
1155,Orange Concrete Slab,Orange Concrete Slab,
1156,Orange Concrete Slab|meta|rot1|top,Orange Concrete Slab,meta|rot1|top
1157,Orange Concrete Slab|meta|rot1|side,Orange Concrete Slab,meta|rot1|side
1158,Orange Concrete Slab|meta|rot2|side,Orange Concrete Slab,meta|rot2|side
1159,Orange Concrete Slab|meta|rot3|side,Orange Concrete Slab,meta|rot3|side
1160,Orange Concrete Slab|meta|rot4|side,Orange Concrete Slab,meta|rot4|side
1161,Magenta Concrete Slab,Magenta Concrete Slab,
1162,Magenta Concrete Slab|meta|rot1|top,Magenta Concrete Slab,meta|rot1|top
1163,Magenta Concrete Slab|meta|rot1|side,Magenta Concrete Slab,meta|rot1|side
1164,Magenta Concrete Slab|meta|rot2|side,Magenta Concrete Slab,meta|rot2|side
1165,Magenta Concrete Slab|meta|rot3|side,Magenta Concrete Slab,meta|rot3|side
1166,Magenta Concrete Slab|meta|rot4|side,Magenta Concrete Slab,meta|rot4|side
1167,Lime Concrete Slab,Lime Concrete Slab,
1168,Lime Concrete Slab|meta|rot1|top,Lime Concrete Slab,meta|rot1|top
1169,Lime Concrete Slab|meta|rot1|side,Lime Concrete Slab,meta|rot1|side
1170,Lime Concrete Slab|meta|rot2|side,Lime Concrete Slab,meta|rot2|side
1171,Lime Concrete Slab|meta|rot3|side,Lime Concrete Slab,meta|rot3|side
1172,Lime Concrete Slab|meta|rot4|side,Lime Concrete Slab,meta|rot4|side
1173,Light Gray Concrete Slab,Light Gray Concrete Slab,
1174,Light Gray Concrete Slab|meta|rot1|top,Light Gray Concrete Slab,meta|rot1|top
1175,Light Gray Concrete Slab|meta|rot1|side,Light Gray Concrete Slab,meta|rot1|side
1176,Light Gray Concrete Slab|meta|rot2|side,Light Gray Concrete Slab,meta|rot2|side
1177,Light Gray Concrete Slab|meta|rot3|side,Light Gray Concrete Slab,meta|rot3|side
1178,Light Gray Concrete Slab|meta|rot4|side,Light Gray Concrete Slab,meta|rot4|side
1179,Light Blue Concrete Slab,Light Blue Concrete Slab,
1180,Light Blue Concrete Slab|meta|rot1|top,Light Blue Concrete Slab,meta|rot1|top
1181,Light Blue Concrete Slab|meta|rot1|side,Light Blue Concrete Slab,meta|rot1|side
1182,Light Blue Concrete Slab|meta|rot2|side,Light Blue Concrete Slab,meta|rot2|side
1183,Light Blue Concrete Slab|meta|rot3|side,Light Blue Concrete Slab,meta|rot3|side
1184,Light Blue Concrete Slab|meta|rot4|side,Light Blue Concrete Slab,meta|rot4|side
1185,Green Concrete Slab,Green Concrete Slab,
1186,Green Concrete Slab|meta|rot1|top,Green Concrete Slab,meta|rot1|top
1187,Green Concrete Slab|meta|rot1|side,Green Concrete Slab,meta|rot1|side
1188,Green Concrete Slab|meta|rot2|side,Green Concrete Slab,meta|rot2|side
1189,Green Concrete Slab|meta|rot3|side,Green Concrete Slab,meta|rot3|side
1190,Green Concrete Slab|meta|rot4|side,Green Concrete Slab,meta|rot4|side
1191,Gray Concrete Slab,Gray Concrete Slab,
1192,Gray Concrete Slab|meta|rot1|top,Gray Concrete Slab,meta|rot1|top
1193,Gray Concrete Slab|meta|rot1|side,Gray Concrete Slab,meta|rot1|side
1194,Gray Concrete Slab|meta|rot2|side,Gray Concrete Slab,meta|rot2|side
1195,Gray Concrete Slab|meta|rot3|side,Gray Concrete Slab,meta|rot3|side
1196,Gray Concrete Slab|meta|rot4|side,Gray Concrete Slab,meta|rot4|side
1197,Cyan Concrete Slab,Cyan Concrete Slab,
1198,Cyan Concrete Slab|meta|rot1|top,Cyan Concrete Slab,meta|rot1|top
1199,Cyan Concrete Slab|meta|rot1|side,Cyan Concrete Slab,meta|rot1|side
1200,Cyan Concrete Slab|meta|rot2|side,Cyan Concrete Slab,meta|rot2|side
1201,Cyan Concrete Slab|meta|rot3|side,Cyan Concrete Slab,meta|rot3|side
1202,Cyan Concrete Slab|meta|rot4|side,Cyan Concrete Slab,meta|rot4|side
1203,Brown Concrete Slab,Brown Concrete Slab,
1204,Brown Concrete Slab|meta|rot1|top,Brown Concrete Slab,meta|rot1|top
1205,Brown Concrete Slab|meta|rot1|side,Brown Concrete Slab,meta|rot1|side
1206,Brown Concrete Slab|meta|rot2|side,Brown Concrete Slab,meta|rot2|side
1207,Brown Concrete Slab|meta|rot3|side,Brown Concrete Slab,meta|rot3|side
1208,Brown Concrete Slab|meta|rot4|side,Brown Concrete Slab,meta|rot4|side
1209,Blue Concrete Slab,Blue Concrete Slab,
1210,Blue Concrete Slab|meta|rot1|top,Blue Concrete Slab,meta|rot1|top
1211,Blue Concrete Slab|meta|rot1|side,Blue Concrete Slab,meta|rot1|side
1212,Blue Concrete Slab|meta|rot2|side,Blue Concrete Slab,meta|rot2|side
1213,Blue Concrete Slab|meta|rot3|side,Blue Concrete Slab,meta|rot3|side
1214,Blue Concrete Slab|meta|rot4|side,Blue Concrete Slab,meta|rot4|side
1215,Black Concrete Slab,Black Concrete Slab,
1216,Black Concrete Slab|meta|rot1|top,Black Concrete Slab,meta|rot1|top
1217,Black Concrete Slab|meta|rot1|side,Black Concrete Slab,meta|rot1|side
1218,Black Concrete Slab|meta|rot2|side,Black Concrete Slab,meta|rot2|side
1219,Black Concrete Slab|meta|rot3|side,Black Concrete Slab,meta|rot3|side
1220,Black Concrete Slab|meta|rot4|side,Black Concrete Slab,meta|rot4|side
1221,Grenade,Grenade,
1222,Cherry Log,Cherry Log,
1223,Barkless Cherry Log,Barkless Cherry Log,
1224,Barkless Cherry Log|TreeBase|Cherry,Barkless Cherry Log,TreeBase|Cherry
1225,Cherry Wood Planks,Cherry Wood Planks,
1226,Cherry Leaves,Cherry Leaves,
1227,Fallen Cherry Leaves,Fallen Cherry Leaves,
1228,Fallen Cherry Leaves|meta|rot1|top,Fallen Cherry Leaves,meta|rot1|top
1229,Fallen Cherry Leaves|meta|rot1|side,Fallen Cherry Leaves,meta|rot1|side
1230,Fallen Cherry Leaves|meta|rot2|side,Fallen Cherry Leaves,meta|rot2|side
1231,Fallen Cherry Leaves|meta|rot3|side,Fallen Cherry Leaves,meta|rot3|side
1232,Fallen Cherry Leaves|meta|rot4|side,Fallen Cherry Leaves,meta|rot4|side
1233,Cherry Door,Cherry Door,
1234,Cherry Door|meta|rot1|open,Cherry Door,meta|rot1|open
1235,Cherry Door|meta|rot2|closed,Cherry Door,meta|rot2|closed
1236,Cherry Door|meta|rot2|open,Cherry Door,meta|rot2|open
1237,Cherry Door|meta|rot3|closed,Cherry Door,meta|rot3|closed
1238,Cherry Door|meta|rot3|open,Cherry Door,meta|rot3|open
1239,Cherry Door|meta|rot4|closed,Cherry Door,meta|rot4|closed
1240,Cherry Door|meta|rot4|open,Cherry Door,meta|rot4|open
1241,_Cherry Door Top,_Cherry Door Top,
1242,_Cherry Door Top|meta|rot1|open,_Cherry Door Top,meta|rot1|open
1243,_Cherry Door Top|meta|rot2|closed,_Cherry Door Top,meta|rot2|closed
1244,_Cherry Door Top|meta|rot2|open,_Cherry Door Top,meta|rot2|open
1245,_Cherry Door Top|meta|rot3|closed,_Cherry Door Top,meta|rot3|closed
1246,_Cherry Door Top|meta|rot3|open,_Cherry Door Top,meta|rot3|open
1247,_Cherry Door Top|meta|rot4|closed,_Cherry Door Top,meta|rot4|closed
1248,_Cherry Door Top|meta|rot4|open,_Cherry Door Top,meta|rot4|open
1249,Cherry Trapdoor,Cherry Trapdoor,
1250,Cherry Trapdoor|meta|rot1|open,Cherry Trapdoor,meta|rot1|open
1251,Cherry Trapdoor|meta|rot2|closed,Cherry Trapdoor,meta|rot2|closed
1252,Cherry Trapdoor|meta|rot2|open,Cherry Trapdoor,meta|rot2|open
1253,Cherry Trapdoor|meta|rot3|closed,Cherry Trapdoor,meta|rot3|closed
1254,Cherry Trapdoor|meta|rot3|open,Cherry Trapdoor,meta|rot3|open
1255,Cherry Trapdoor|meta|rot4|closed,Cherry Trapdoor,meta|rot4|closed
1256,Cherry Trapdoor|meta|rot4|open,Cherry Trapdoor,meta|rot4|open
1257,Cherry Sapling,Cherry Sapling,
1258,Cherry Log|TreeBase|Cherry,Cherry Log,TreeBase|Cherry
1259,Cherry Leaves|TreeCanopy,Cherry Leaves,TreeCanopy
1260,Cherry Slab,Cherry Slab,
1261,Cherry Slab|meta|rot1|top,Cherry Slab,meta|rot1|top
1262,Cherry Slab|meta|rot1|side,Cherry Slab,meta|rot1|side
1263,Cherry Slab|meta|rot2|side,Cherry Slab,meta|rot2|side
1264,Cherry Slab|meta|rot3|side,Cherry Slab,meta|rot3|side
1265,Cherry Slab|meta|rot4|side,Cherry Slab,meta|rot4|side
1266,Cherry Ladder,Cherry Ladder,
1267,Cherry Ladder|meta|rot2,Cherry Ladder,meta|rot2
1268,Cherry Ladder|meta|rot3,Cherry Ladder,meta|rot3
1269,Cherry Ladder|meta|rot4,Cherry Ladder,meta|rot4
1270,Cherry Block,Cherry Block,
1271,Bouncy Bomb Block,Bouncy Bomb Block,
1272,Obby Rocket,Obby Rocket,
1273,Wood Spikes,Wood Spikes,
1274,Stone Spikes,Stone Spikes,
1275,Iron Spikes,Iron Spikes,
1276,Gold Spikes,Gold Spikes,
1277,Diamond Spikes,Diamond Spikes,
1278,Kill Spikes,Kill Spikes,
1279,Corn Block,Corn Block,
1280,Corn Seeds,Corn Seeds,
1281,Corn Seeds_stage1,Corn Seeds_stage1,
1282,Corn Seeds|FreshlyGrown,Corn Seeds,FreshlyGrown
1283,Corn Seeds|Growing,Corn Seeds,Growing
1284,Corn Plant_stage1,Corn Plant_stage1,
1285,Corn Plant_stage2,Corn Plant_stage2,
1286,Corn Plant_stage3,Corn Plant_stage3,
1287,Corn Plant_stage4,Corn Plant_stage4,
1288,Corn Plant_stage5,Corn Plant_stage5,
1289,Corn Plant,Corn Plant,
1290,Corn Plant|FreshlyGrown,Corn Plant,FreshlyGrown
1291,Loot Chest,Loot Chest,
1292,Loot Chest|meta|rot2,Loot Chest,meta|rot2
1293,Loot Chest|meta|rot3,Loot Chest,meta|rot3
1294,Loot Chest|meta|rot4,Loot Chest,meta|rot4
1295,Melting Ice,Melting Ice,
1296,Melting Ice|Breaking,Melting Ice,Breaking
1297,Yellow Paintball Explosive,Yellow Paintball Explosive,
1298,White Paintball Explosive,White Paintball Explosive,
1299,Red Paintball Explosive,Red Paintball Explosive,
1300,Purple Paintball Explosive,Purple Paintball Explosive,
1301,Pink Paintball Explosive,Pink Paintball Explosive,
1302,Orange Paintball Explosive,Orange Paintball Explosive,
1303,Magenta Paintball Explosive,Magenta Paintball Explosive,
1304,Lime Paintball Explosive,Lime Paintball Explosive,
1305,Light Gray Paintball Explosive,Light Gray Paintball Explosive,
1306,Light Blue Paintball Explosive,Light Blue Paintball Explosive,
1307,Green Paintball Explosive,Green Paintball Explosive,
1308,Gray Paintball Explosive,Gray Paintball Explosive,
1309,Cyan Paintball Explosive,Cyan Paintball Explosive,
1310,Brown Paintball Explosive,Brown Paintball Explosive,
1311,Blue Paintball Explosive,Blue Paintball Explosive,
1312,Black Paintball Explosive,Black Paintball Explosive,
1313,Yellow Quick Paintball Explosive,Yellow Quick Paintball Explosive,
1314,White Quick Paintball Explosive,White Quick Paintball Explosive,
1315,Red Quick Paintball Explosive,Red Quick Paintball Explosive,
1316,Purple Quick Paintball Explosive,Purple Quick Paintball Explosive,
1317,Pink Quick Paintball Explosive,Pink Quick Paintball Explosive,
1318,Orange Quick Paintball Explosive,Orange Quick Paintball Explosive,
1319,Magenta Quick Paintball Explosive,Magenta Quick Paintball Explosive,
1320,Lime Quick Paintball Explosive,Lime Quick Paintball Explosive,
1321,Light Gray Quick Paintball Explosive,Light Gray Quick Paintball Explosive,
1322,Light Blue Quick Paintball Explosive,Light Blue Quick Paintball Explosive,
1323,Green Quick Paintball Explosive,Green Quick Paintball Explosive,
1324,Gray Quick Paintball Explosive,Gray Quick Paintball Explosive,
1325,Cyan Quick Paintball Explosive,Cyan Quick Paintball Explosive,
1326,Brown Quick Paintball Explosive,Brown Quick Paintball Explosive,
1327,Blue Quick Paintball Explosive,Blue Quick Paintball Explosive,
1328,Black Quick Paintball Explosive,Black Quick Paintball Explosive,
1329,Yellow Seeking Paintball Explosive,Yellow Seeking Paintball Explosive,
1330,White Seeking Paintball Explosive,White Seeking Paintball Explosive,
1331,Red Seeking Paintball Explosive,Red Seeking Paintball Explosive,
1332,Purple Seeking Paintball Explosive,Purple Seeking Paintball Explosive,
1333,Pink Seeking Paintball Explosive,Pink Seeking Paintball Explosive,
1334,Orange Seeking Paintball Explosive,Orange Seeking Paintball Explosive,
1335,Magenta Seeking Paintball Explosive,Magenta Seeking Paintball Explosive,
1336,Lime Seeking Paintball Explosive,Lime Seeking Paintball Explosive,
1337,Light Gray Seeking Paintball Explosive,Light Gray Seeking Paintball Explosive,
1338,Light Blue Seeking Paintball Explosive,Light Blue Seeking Paintball Explosive,
1339,Green Seeking Paintball Explosive,Green Seeking Paintball Explosive,
1340,Gray Seeking Paintball Explosive,Gray Seeking Paintball Explosive,
1341,Cyan Seeking Paintball Explosive,Cyan Seeking Paintball Explosive,
1342,Brown Seeking Paintball Explosive,Brown Seeking Paintball Explosive,
1343,Blue Seeking Paintball Explosive,Blue Seeking Paintball Explosive,
1344,Black Seeking Paintball Explosive,Black Seeking Paintball Explosive,
1345,Yellow Sticky Paintball Explosive,Yellow Sticky Paintball Explosive,
1346,White Sticky Paintball Explosive,White Sticky Paintball Explosive,
1347,Red Sticky Paintball Explosive,Red Sticky Paintball Explosive,
1348,Purple Sticky Paintball Explosive,Purple Sticky Paintball Explosive,
1349,Pink Sticky Paintball Explosive,Pink Sticky Paintball Explosive,
1350,Orange Sticky Paintball Explosive,Orange Sticky Paintball Explosive,
1351,Magenta Sticky Paintball Explosive,Magenta Sticky Paintball Explosive,
1352,Lime Sticky Paintball Explosive,Lime Sticky Paintball Explosive,
1353,Light Gray Sticky Paintball Explosive,Light Gray Sticky Paintball Explosive,
1354,Light Blue Sticky Paintball Explosive,Light Blue Sticky Paintball Explosive,
1355,Green Sticky Paintball Explosive,Green Sticky Paintball Explosive,
1356,Gray Sticky Paintball Explosive,Gray Sticky Paintball Explosive,
1357,Cyan Sticky Paintball Explosive,Cyan Sticky Paintball Explosive,
1358,Brown Sticky Paintball Explosive,Brown Sticky Paintball Explosive,
1359,Blue Sticky Paintball Explosive,Blue Sticky Paintball Explosive,
1360,Black Sticky Paintball Explosive,Black Sticky Paintball Explosive,
1361,White Strongbed,White Strongbed,
1362,White Strongbed|meta|rot2,White Strongbed,meta|rot2
1363,White Strongbed|meta|rot3,White Strongbed,meta|rot3
1364,White Strongbed|meta|rot4,White Strongbed,meta|rot4
1365,_White Strongbed Head,_White Strongbed Head,
1366,_White Strongbed Head|meta|rot2,_White Strongbed Head,meta|rot2
1367,_White Strongbed Head|meta|rot3,_White Strongbed Head,meta|rot3
1368,_White Strongbed Head|meta|rot4,_White Strongbed Head,meta|rot4
1369,Orange Strongbed,Orange Strongbed,
1370,Orange Strongbed|meta|rot2,Orange Strongbed,meta|rot2
1371,Orange Strongbed|meta|rot3,Orange Strongbed,meta|rot3
1372,Orange Strongbed|meta|rot4,Orange Strongbed,meta|rot4
1373,_Orange Strongbed Head,_Orange Strongbed Head,
1374,_Orange Strongbed Head|meta|rot2,_Orange Strongbed Head,meta|rot2
1375,_Orange Strongbed Head|meta|rot3,_Orange Strongbed Head,meta|rot3
1376,_Orange Strongbed Head|meta|rot4,_Orange Strongbed Head,meta|rot4
1377,Magenta Strongbed,Magenta Strongbed,
1378,Magenta Strongbed|meta|rot2,Magenta Strongbed,meta|rot2
1379,Magenta Strongbed|meta|rot3,Magenta Strongbed,meta|rot3
1380,Magenta Strongbed|meta|rot4,Magenta Strongbed,meta|rot4
1381,_Magenta Strongbed Head,_Magenta Strongbed Head,
1382,_Magenta Strongbed Head|meta|rot2,_Magenta Strongbed Head,meta|rot2
1383,_Magenta Strongbed Head|meta|rot3,_Magenta Strongbed Head,meta|rot3
1384,_Magenta Strongbed Head|meta|rot4,_Magenta Strongbed Head,meta|rot4
1385,Light Blue Strongbed,Light Blue Strongbed,
1386,Light Blue Strongbed|meta|rot2,Light Blue Strongbed,meta|rot2
1387,Light Blue Strongbed|meta|rot3,Light Blue Strongbed,meta|rot3
1388,Light Blue Strongbed|meta|rot4,Light Blue Strongbed,meta|rot4
1389,_Light Blue Strongbed Head,_Light Blue Strongbed Head,
1390,_Light Blue Strongbed Head|meta|rot2,_Light Blue Strongbed Head,meta|rot2
1391,_Light Blue Strongbed Head|meta|rot3,_Light Blue Strongbed Head,meta|rot3
1392,_Light Blue Strongbed Head|meta|rot4,_Light Blue Strongbed Head,meta|rot4
1393,Yellow Strongbed,Yellow Strongbed,
1394,Yellow Strongbed|meta|rot2,Yellow Strongbed,meta|rot2
1395,Yellow Strongbed|meta|rot3,Yellow Strongbed,meta|rot3
1396,Yellow Strongbed|meta|rot4,Yellow Strongbed,meta|rot4
1397,_Yellow Strongbed Head,_Yellow Strongbed Head,
1398,_Yellow Strongbed Head|meta|rot2,_Yellow Strongbed Head,meta|rot2
1399,_Yellow Strongbed Head|meta|rot3,_Yellow Strongbed Head,meta|rot3
1400,_Yellow Strongbed Head|meta|rot4,_Yellow Strongbed Head,meta|rot4
1401,Lime Strongbed,Lime Strongbed,
1402,Lime Strongbed|meta|rot2,Lime Strongbed,meta|rot2
1403,Lime Strongbed|meta|rot3,Lime Strongbed,meta|rot3
1404,Lime Strongbed|meta|rot4,Lime Strongbed,meta|rot4
1405,_Lime Strongbed Head,_Lime Strongbed Head,
1406,_Lime Strongbed Head|meta|rot2,_Lime Strongbed Head,meta|rot2
1407,_Lime Strongbed Head|meta|rot3,_Lime Strongbed Head,meta|rot3
1408,_Lime Strongbed Head|meta|rot4,_Lime Strongbed Head,meta|rot4
1409,Pink Strongbed,Pink Strongbed,
1410,Pink Strongbed|meta|rot2,Pink Strongbed,meta|rot2
1411,Pink Strongbed|meta|rot3,Pink Strongbed,meta|rot3
1412,Pink Strongbed|meta|rot4,Pink Strongbed,meta|rot4
1413,_Pink Strongbed Head,_Pink Strongbed Head,
1414,_Pink Strongbed Head|meta|rot2,_Pink Strongbed Head,meta|rot2
1415,_Pink Strongbed Head|meta|rot3,_Pink Strongbed Head,meta|rot3
1416,_Pink Strongbed Head|meta|rot4,_Pink Strongbed Head,meta|rot4
1417,Gray Strongbed,Gray Strongbed,
1418,Gray Strongbed|meta|rot2,Gray Strongbed,meta|rot2
1419,Gray Strongbed|meta|rot3,Gray Strongbed,meta|rot3
1420,Gray Strongbed|meta|rot4,Gray Strongbed,meta|rot4
1421,_Gray Strongbed Head,_Gray Strongbed Head,
1422,_Gray Strongbed Head|meta|rot2,_Gray Strongbed Head,meta|rot2
1423,_Gray Strongbed Head|meta|rot3,_Gray Strongbed Head,meta|rot3
1424,_Gray Strongbed Head|meta|rot4,_Gray Strongbed Head,meta|rot4
1425,Light Gray Strongbed,Light Gray Strongbed,
1426,Light Gray Strongbed|meta|rot2,Light Gray Strongbed,meta|rot2
1427,Light Gray Strongbed|meta|rot3,Light Gray Strongbed,meta|rot3
1428,Light Gray Strongbed|meta|rot4,Light Gray Strongbed,meta|rot4
1429,_Light Gray Strongbed Head,_Light Gray Strongbed Head,
1430,_Light Gray Strongbed Head|meta|rot2,_Light Gray Strongbed Head,meta|rot2
1431,_Light Gray Strongbed Head|meta|rot3,_Light Gray Strongbed Head,meta|rot3
1432,_Light Gray Strongbed Head|meta|rot4,_Light Gray Strongbed Head,meta|rot4
1433,Cyan Strongbed,Cyan Strongbed,
1434,Cyan Strongbed|meta|rot2,Cyan Strongbed,meta|rot2
1435,Cyan Strongbed|meta|rot3,Cyan Strongbed,meta|rot3
1436,Cyan Strongbed|meta|rot4,Cyan Strongbed,meta|rot4
1437,_Cyan Strongbed Head,_Cyan Strongbed Head,
1438,_Cyan Strongbed Head|meta|rot2,_Cyan Strongbed Head,meta|rot2
1439,_Cyan Strongbed Head|meta|rot3,_Cyan Strongbed Head,meta|rot3
1440,_Cyan Strongbed Head|meta|rot4,_Cyan Strongbed Head,meta|rot4
1441,Purple Strongbed,Purple Strongbed,
1442,Purple Strongbed|meta|rot2,Purple Strongbed,meta|rot2
1443,Purple Strongbed|meta|rot3,Purple Strongbed,meta|rot3
1444,Purple Strongbed|meta|rot4,Purple Strongbed,meta|rot4
1445,_Purple Strongbed Head,_Purple Strongbed Head,
1446,_Purple Strongbed Head|meta|rot2,_Purple Strongbed Head,meta|rot2
1447,_Purple Strongbed Head|meta|rot3,_Purple Strongbed Head,meta|rot3
1448,_Purple Strongbed Head|meta|rot4,_Purple Strongbed Head,meta|rot4
1449,Blue Strongbed,Blue Strongbed,
1450,Blue Strongbed|meta|rot2,Blue Strongbed,meta|rot2
1451,Blue Strongbed|meta|rot3,Blue Strongbed,meta|rot3
1452,Blue Strongbed|meta|rot4,Blue Strongbed,meta|rot4
1453,_Blue Strongbed Head,_Blue Strongbed Head,
1454,_Blue Strongbed Head|meta|rot2,_Blue Strongbed Head,meta|rot2
1455,_Blue Strongbed Head|meta|rot3,_Blue Strongbed Head,meta|rot3
1456,_Blue Strongbed Head|meta|rot4,_Blue Strongbed Head,meta|rot4
1457,Brown Strongbed,Brown Strongbed,
1458,Brown Strongbed|meta|rot2,Brown Strongbed,meta|rot2
1459,Brown Strongbed|meta|rot3,Brown Strongbed,meta|rot3
1460,Brown Strongbed|meta|rot4,Brown Strongbed,meta|rot4
1461,_Brown Strongbed Head,_Brown Strongbed Head,
1462,_Brown Strongbed Head|meta|rot2,_Brown Strongbed Head,meta|rot2
1463,_Brown Strongbed Head|meta|rot3,_Brown Strongbed Head,meta|rot3
1464,_Brown Strongbed Head|meta|rot4,_Brown Strongbed Head,meta|rot4
1465,Green Strongbed,Green Strongbed,
1466,Green Strongbed|meta|rot2,Green Strongbed,meta|rot2
1467,Green Strongbed|meta|rot3,Green Strongbed,meta|rot3
1468,Green Strongbed|meta|rot4,Green Strongbed,meta|rot4
1469,_Green Strongbed Head,_Green Strongbed Head,
1470,_Green Strongbed Head|meta|rot2,_Green Strongbed Head,meta|rot2
1471,_Green Strongbed Head|meta|rot3,_Green Strongbed Head,meta|rot3
1472,_Green Strongbed Head|meta|rot4,_Green Strongbed Head,meta|rot4
1473,Red Strongbed,Red Strongbed,
1474,Red Strongbed|meta|rot2,Red Strongbed,meta|rot2
1475,Red Strongbed|meta|rot3,Red Strongbed,meta|rot3
1476,Red Strongbed|meta|rot4,Red Strongbed,meta|rot4
1477,_Red Strongbed Head,_Red Strongbed Head,
1478,_Red Strongbed Head|meta|rot2,_Red Strongbed Head,meta|rot2
1479,_Red Strongbed Head|meta|rot3,_Red Strongbed Head,meta|rot3
