id,root_name,asset_type,confidence,tex_top,tex_side,tex_bottom,tex_front,tex_all,model_file,fuzzy_2,fuzzy_3,status,final_top,final_side,final_bottom,final_front,final_all,final_model
1221,Grenade,texture,low,,,,,,,grenade_block,grenade_launcher,resolved,,,,,grenade_block,
1222,Cherry Log,texture,exact,,,,,log_cherry,,,,resolved,log_cherry,log_cherry,log_cherry,,log_cherry,
1223,Barkless Cherry Log,texture,low,,,,,,,log_cherry,stripped_cherry_log,resolved,,,,,stripped_cherry_log,
1225,Cherry Wood Planks,texture,low,,,,,,,planks_cherry,cherry,resolved,,,,,planks_cherry,
1226,Cherry Leaves,texture,exact,,,,,leaves_cherry,,,,resolved,leaves_cherry,leaves_cherry,leaves_cherry,,leaves_cherry,
1227,Fallen Cherry Leaves,texture,multi_face,,fallen_cherry_leaves_side,,,,,,,resolved,leaves_cherry,fallen_cherry_leaves_side,leaves_cherry,,,
1233,Cherry Door,3d_model,high (exact),,,,,,Cherry Door,,,resolved,,,,,,Cherry Door
1241,_Cherry Door Top,3d_model,high (exact),,,,,,_Cherry Door Top,,,resolved,,,,,,_Cherry Door Top
1249,Cherry Trapdoor,3d_model,high (exact),,,,,,Cherry Trapdoor,,,resolved,,,,,,Cherry Trapdoor
1257,Cherry Sapling,3d_model,high (exact),,,,,,Cherry Sapling,,,special,,,,,,
1260,Cherry Slab,texture,multi_face,,slab_cherry_side,,,,,,,resolved,planks_cherry,slab_cherry_side,planks_cherry,,,
1266,Cherry Ladder,3d_model,high (exact),,,,,,Cherry Ladder,,,resolved,,,,,,Cherry Ladder
1270,Cherry Block,texture,multi_face,cherry_block_top,cherry_block_side,cherry_block_bottom,,,,,,resolved,cherry_block_top,cherry_block_side,cherry_block_bottom,,,
1271,Bouncy Bomb Block,texture,exact,,,,,bouncy_bomb_block,,,,resolved,bouncy_bomb_block,bouncy_bomb_block,bouncy_bomb_block,,bouncy_bomb_block,
1272,Obby Rocket,texture,low,,,,,,,rocket,rocket_block,resolved,,,rocket_block,,rocket_block,
1273,Wood Spikes,3d_model,high (exact),,,,,,Spikes_Wood,,,resolved,,,,,,Spikes_Wood
1274,Stone Spikes,3d_model,high (exact),,,,,,Spikes_Stone,,,resolved,,,,,,Spikes_Stone
1275,Iron Spikes,3d_model,high (exact),,,,,,Iron Spikes,,,resolved,,,,,,Spikes_Iron
1276,Gold Spikes,3d_model,high (exact),,,,,,Gold Spikes,,,resolved,,,,,,Spikes_Gold
1277,Diamond Spikes,3d_model,high (exact),,,,,,Diamond Spikes,,,resolved,,,,,,Spikes_Diamond
1278,Kill Spikes,3d_model,high (exact),,,,,,Kill Spikes,,,resolved,,,,,,Spikes_Kill
1279,Corn Block,texture,multi_face,corn_block_top,corn_block_side,corn_block_bottom,,,,,,resolved,corn_block_top,corn_block_side,corn_block_bottom,,,
1280,Corn Seeds,3d_model,high (exact),,,,,,Corn Seeds,,,special,,,,,,
1281,Corn Seeds_stage1,texture,low,,,,,,,corn_seeds,corn_stage1,special,,,,,,
1284,Corn Plant_stage1,texture,low,,,,,,,corn_stage1,beetroot_plant_stage1,special,,,,,,
1285,Corn Plant_stage2,texture,low,,,,,,,corn_stage2,beetroot_plant_stage2,special,,,,,,
1286,Corn Plant_stage3,texture,low,,,,,,,corn_stage3,cotton_plant_stage3,special,,,,,,
1287,Corn Plant_stage4,texture,low,,,,,,,corn_stage4,corn,special,,,,,,
1288,Corn Plant_stage5,texture,low,,,,,,,corn_stage5,corn,special,,,,,,
1289,Corn Plant,texture,low,,,,,,,corn,corn_seeds,special,,,,,,
1291,Loot Chest,texture,low,,,,,,,chest_back,chest_front,resolved,chest_top_2,chest_side,chest_top_1,chest_front,,
1295,Melting Ice,texture,exact,,,,,melting_ice,,,,resolved,melting_ice,ice,melting_ice,,ice,
1297,Yellow Paintball Explosive,texture,low,,,,,,,yellow_paintball,explosive_paint_yellow,resolved,explosive_paint_yellow_top,explosive_paint_yellow_side,explosive_paint_yellow_top,,,
1298,White Paintball Explosive,texture,low,,,,,,,white_paintball,explosive_paint_white,resolved,explosive_paint_white_top,explosive_paint_white_side,explosive_paint_white_top,,,
1299,Red Paintball Explosive,texture,low,,,,,,,red_paintball,explosive_paint_red,resolved,explosive_paint_red_top,explosive_paint_red_side,explosive_paint_red_top,,,
1300,Purple Paintball Explosive,texture,low,,,,,,,purple_paintball,explosive_paint_purple,resolved,explosive_paint_purple_top,explosive_paint_purple_side,explosive_paint_purple_top,,,
1301,Pink Paintball Explosive,texture,low,,,,,,,pink_paintball,explosive_paint_pink,resolved,explosive_paint_pink_top,explosive_paint_pink_side,explosive_paint_pink_top,,,
1302,Orange Paintball Explosive,texture,low,,,,,,,orange_paintball,explosive_paint_orange,resolved,explosive_paint_orange_top,explosive_paint_orange_side,explosive_paint_orange_top,,,
1303,Magenta Paintball Explosive,texture,low,,,,,,,magenta_paintball,explosive_paint_magenta,resolved,explosive_paint_magenta_top,explosive_paint_magenta_side,explosive_paint_magenta_top,explosive_paint_magenta_side,,
1304,Lime Paintball Explosive,texture,low,,,,,,,lime_paintball,explosive_paint_lime,resolved,explosive_paint_lime_top,explosive_paint_lime_side,explosive_paint_lime_top,explosive_paint_lime_side,,
1305,Light Gray Paintball Explosive,texture,low,,,,,,,light_gray_paintball,explosive_paint_light_gray,resolved,explosive_paint_light_gray_top,explosive_paint_light_gray_side,explosive_paint_light_gray_top,,,
1306,Light Blue Paintball Explosive,texture,low,,,,,,,light_blue_paintball,explosive_paint_light_blue,resolved,explosive_paint_light_blue_top,explosive_paint_light_blue_side,explosive_paint_light_blue_top,explosive_paint_light_blue_side,,
1307,Green Paintball Explosive,texture,low,,,,,,,green_paintball,explosive_paint_green,resolved,explosive_paint_green_top,explosive_paint_green_side,explosive_paint_green_top,,,
1308,Gray Paintball Explosive,texture,low,,,,,,,gray_paintball,explosive_paint_gray,resolved,explosive_paint_gray_top,explosive_paint_gray_side,explosive_paint_gray_top,,,
1309,Cyan Paintball Explosive,texture,low,,,,,,,cyan_paintball,cyan_paintball_gun,resolved,explosive_paint_cyan_top,explosive_paint_cyan_side,explosive_paint_cyan_top,,,
1310,Brown Paintball Explosive,texture,low,,,,,,,brown_paintball,brown_paintball_gun,resolved,explosive_paint_brown_top,explosive_paint_brown_side,explosive_paint_brown_top,,,
1311,Blue Paintball Explosive,texture,low,,,,,,,blue_paintball,blue_paintball_gun,resolved,explosive_paint_blue_top,explosive_paint_blue_side,explosive_paint_blue_top,,,
1312,Black Paintball Explosive,texture,low,,,,,,,black_paintball,black_paintball_gun,resolved,explosive_paint_black_top,explosive_paint_black_side,explosive_paint_black_top,,,
1313,Yellow Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_yellow,yellow_paintball,resolved,,,,,explosive_paint_quick_yellow,
1314,White Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_white,white_paintball,resolved,,,,,explosive_paint_quick_white,
1315,Red Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_red,red_paintball,resolved,,,,,explosive_paint_quick_red,
1316,Purple Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_purple,purple_paintball,resolved,,,,,explosive_paint_quick_purple,
1317,Pink Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_pink,pink_paintball,resolved,,,,,explosive_paint_quick_pink,
1318,Orange Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_orange,orange_paintball,resolved,,,,,explosive_paint_quick_orange,
1319,Magenta Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_magenta,magenta_paintball,resolved,,,,,explosive_paint_quick_magenta,
1320,Lime Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_lime,lime_paintball,resolved,,,,,explosive_paint_quick_lime,
1321,Light Gray Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_light_gray,light_gray_paintball,resolved,,,,,explosive_paint_quick_light_gray,
1322,Light Blue Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_light_blue,light_blue_paintball,resolved,,,,,explosive_paint_quick_light_blue,
1323,Green Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_green,green_paintball,resolved,,,,,explosive_paint_quick_green,
1324,Gray Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_gray,explosive_paint_quick_light_gray,resolved,,,,,explosive_paint_quick_light_gray,
1325,Cyan Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_cyan,cyan_paintball,resolved,,,,,explosive_paint_quick_cyan,
1326,Brown Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_brown,brown_paintball,resolved,,,,,explosive_paint_quick_brown,
1327,Blue Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_blue,explosive_paint_quick_light_blue,resolved,,,,,explosive_paint_quick_blue,
1328,Black Quick Paintball Explosive,texture,low,,,,,,,explosive_paint_quick_black,black_paintball,resolved,,,,,explosive_paint_quick_black,
1329,Yellow Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_yellow,yellow_paintball,resolved,,,,,explosive_paint_seeking_yellow,
1330,White Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_white,white_paintball,resolved,,,,,explosive_paint_seeking_white,
1331,Red Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_red,red_paintball,resolved,,,,,explosive_paint_seeking_red,
1332,Purple Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_purple,purple_paintball,resolved,,,,,explosive_paint_seeking_purple,
1333,Pink Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_pink,pink_paintball,resolved,,,,,explosive_paint_seeking_pink,
1334,Orange Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_orange,orange_paintball,resolved,,,,,explosive_paint_seeking_orange,
1335,Magenta Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_magenta,magenta_paintball,resolved,,,,,explosive_paint_seeking_magenta,
1336,Lime Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_lime,lime_paintball,resolved,,,,,explosive_paint_seeking_lime,
1337,Light Gray Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_light_gray,light_gray_paintball,resolved,,,,,explosive_paint_seeking_light_gray,
1338,Light Blue Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_light_blue,light_blue_paintball,resolved,,,,,explosive_paint_seeking_light_blue,
1339,Green Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_green,green_paintball,resolved,,,,,explosive_paint_seeking_green,
1340,Gray Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_gray,explosive_paint_seeking_light_gray,resolved,,,,,explosive_paint_seeking_gray,
1341,Cyan Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_cyan,cyan_paintball,resolved,,,,,explosive_paint_seeking_cyan,
1342,Brown Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_brown,brown_paintball,resolved,,,,,explosive_paint_seeking_brown,
1343,Blue Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_blue,explosive_paint_seeking_light_blue,resolved,,,,,explosive_paint_seeking_blue,
1344,Black Seeking Paintball Explosive,texture,low,,,,,,,explosive_paint_seeking_black,black_paintball,resolved,,,,,explosive_paint_seeking_black,
1345,Yellow Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_yellow,yellow_paintball,resolved,,,,,explosive_paint_sticky_yellow,
1346,White Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_white,white_paintball,resolved,,,,,explosive_paint_sticky_white,
1347,Red Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_red,red_paintball,resolved,,,,,explosive_paint_sticky_red,
1348,Purple Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_purple,purple_paintball,resolved,,,,,explosive_paint_sticky_purple,
1349,Pink Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_pink,pink_paintball,resolved,,,,,explosive_paint_sticky_pink,
1350,Orange Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_orange,orange_paintball,resolved,,,,,explosive_paint_sticky_orange,
1351,Magenta Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_magenta,magenta_paintball,resolved,,,,,explosive_paint_sticky_magenta,
1352,Lime Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_lime,lime_paintball,resolved,,,,,explosive_paint_sticky_lime,
1353,Light Gray Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_light_gray,light_gray_paintball,resolved,,,,,explosive_paint_sticky_light_gray,
1354,Light Blue Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_light_blue,light_blue_paintball,resolved,,,,,explosive_paint_sticky_light_blue,
1355,Green Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_green,green_paintball,resolved,,,,,explosive_paint_sticky_green,
1356,Gray Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_gray,explosive_paint_sticky_light_gray,resolved,,,,,explosive_paint_sticky_gray,
1357,Cyan Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_cyan,cyan_paintball,resolved,,,,,explosive_paint_sticky_cyan,
1358,Brown Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_brown,brown_paintball,resolved,,,,,explosive_paint_sticky_brown,
1359,Blue Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_blue,explosive_paint_sticky_light_blue,resolved,,,,,explosive_paint_sticky_blue,
1360,Black Sticky Paintball Explosive,texture,low,,,,,,,explosive_paint_sticky_black,black_paintball,resolved,,,,,explosive_paint_sticky_black,
1361,White Strongbed,3d_model,high (exact),,,,,,White Strongbed,,,resolved,,,,,,White Strongbed
1365,_White Strongbed Head,3d_model,high (exact),,,,,,_White Strongbed Head,,,resolved,,,,,,_White Strongbed Head
1369,Orange Strongbed,3d_model,high (exact),,,,,,Orange Strongbed,,,resolved,,,,,,Orange Strongbed
1373,_Orange Strongbed Head,3d_model,high (exact),,,,,,_Orange Strongbed Head,,,resolved,,,,,,_Orange Strongbed Head
1377,Magenta Strongbed,3d_model,high (exact),,,,,,Magenta Strongbed,,,resolved,,,,,,Magenta Strongbed
1381,_Magenta Strongbed Head,3d_model,high (exact),,,,,,_Magenta Strongbed Head,,,resolved,,,,,,_Magenta Strongbed Head
1385,Light Blue Strongbed,3d_model,high (exact),,,,,,Light Blue Strongbed,,,resolved,,,,,,Light Blue Strongbed
1389,_Light Blue Strongbed Head,3d_model,high (exact),,,,,,_Light Blue Strongbed Head,,,resolved,,,,,,_Light Blue Strongbed Head
1393,Yellow Strongbed,3d_model,high (exact),,,,,,Yellow Strongbed,,,resolved,,,,,,Yellow Strongbed
1397,_Yellow Strongbed Head,3d_model,high (exact),,,,,,_Yellow Strongbed Head,,,resolved,,,,,,_Yellow Strongbed Head
1401,Lime Strongbed,3d_model,high (exact),,,,,,Lime Strongbed,,,resolved,,,,,,Lime Strongbed
1405,_Lime Strongbed Head,3d_model,high (exact),,,,,,_Lime Strongbed Head,,,resolved,,,,,,_Lime Strongbed Head
1409,Pink Strongbed,3d_model,high (exact),,,,,,Pink Strongbed,,,resolved,,,,,,Pink Strongbed
1413,_Pink Strongbed Head,3d_model,high (exact),,,,,,_Pink Strongbed Head,,,resolved,,,,,,_Pink Strongbed Head
1417,Gray Strongbed,3d_model,high (exact),,,,,,Gray Strongbed,,,resolved,,,,,,Gray Strongbed
1421,_Gray Strongbed Head,3d_model,high (exact),,,,,,_Gray Strongbed Head,,,resolved,,,,,,_Gray Strongbed Head
1425,Light Gray Strongbed,3d_model,high (exact),,,,,,Light Gray Strongbed,,,resolved,,,,,,Light Gray Strongbed
1429,_Light Gray Strongbed Head,3d_model,high (exact),,,,,,_Light Gray Strongbed Head,,,resolved,,,,,,_Light Gray Strongbed Head
1433,Cyan Strongbed,3d_model,high (exact),,,,,,Cyan Strongbed,,,resolved,,,,,,Cyan Strongbed
1437,_Cyan Strongbed Head,3d_model,high (exact),,,,,,_Cyan Strongbed Head,,,resolved,,,,,,_Cyan Strongbed Head
1441,Purple Strongbed,3d_model,high (exact),,,,,,Purple Strongbed,,,resolved,,,,,,Purple Strongbed
1445,_Purple Strongbed Head,3d_model,high (exact),,,,,,_Purple Strongbed Head,,,resolved,,,,,,_Purple Strongbed Head
1449,Blue Strongbed,3d_model,high (exact),,,,,,Blue Strongbed,,,resolved,,,,,,Blue Strongbed
1453,_Blue Strongbed Head,3d_model,high (exact),,,,,,_Blue Strongbed Head,,,resolved,,,,,,_Blue Strongbed Head
1457,Brown Strongbed,3d_model,high (exact),,,,,,Brown Strongbed,,,resolved,,,,,,Brown Strongbed
1461,_Brown Strongbed Head,3d_model,high (exact),,,,,,_Brown Strongbed Head,,,resolved,,,,,,_Brown Strongbed Head
1465,Green Strongbed,3d_model,high (exact),,,,,,Green Strongbed,,,resolved,,,,,,Green Strongbed
1469,_Green Strongbed Head,3d_model,high (exact),,,,,,_Green Strongbed Head,,,resolved,,,,,,_Green Strongbed Head
1473,Red Strongbed,3d_model,high (exact),,,,,,Red Strongbed,,,resolved,,,,,,Red Strongbed
1477,_Red Strongbed Head,3d_model,high (exact),,,,,,_Red Strongbed Head,,,resolved,,,,,,_Red Strongbed Head
1481,Black Strongbed,3d_model,high (exact),,,,,,Black Strongbed,,,resolved,,,,,,Black Strongbed
1485,_Black Strongbed Head,3d_model,high (exact),,,,,,_Black Strongbed Head,,,resolved,,,,,,_Black Strongbed Head
1489,Timed Spike Bomb Block,3d_model,high (exact),,,,,,Timed Spike Bomb Block,,,resolved,,,,,,Timed Spike Bomb Block
1491,Lava,texture,low,,,,,,,lava_bucket,,resolved,,,,,lava0,
1492,Fat Brown Mushroom,3d_model,high (exact),,,,,,Fat Brown Mushroom,,,resolved,,,,,,Fat Brown Mushroom
1493,Fat Red Mushroom,3d_model,high (exact),,,,,,Fat Red Mushroom,,,resolved,,,,,,Fat Red Mushroom
1494,Chili Pepper Block,texture,multi_face,chili_pepper_block_top,chili_pepper_block_side,chili_pepper_block_bottom,,,,,,resolved,chili_pepper_block_top,chili_pepper_block_side,chili_pepper_block_bottom,,,
1495,Chili Pepper Seeds,3d_model,high (exact),,,,,,Chili Pepper Seeds,,,special,,,,,,
1496,Chili Pepper Plant_stage1,texture,low,,,,,,,chili_pepper,beetroot_plant_stage1,special,,,,,,
1497,Chili Pepper Plant_stage2,texture,low,,,,,,,chili_pepper,beetroot_plant_stage2,special,,,,,,
1498,Chili Pepper Plant_stage3,texture,low,,,,,,,chili_pepper,chili_pepper_seeds,special,,,,,,
1499,Chili Pepper Plant_stage4,texture,low,,,,,,,chili_pepper,chili_pepper_seeds,special,,,,,,
1500,Chili Pepper Plant,texture,low,,,,,,,chili_pepper,chili_pepper_seeds,special,,,,,,
1507,Chili Pepper Plant_stage5,texture,low,,,,,,,chili_pepper,chili_pepper_seeds,special,,,,,,
1510,Code Block,texture,exact,,,,,code_block,,,,resolved,code_block,code_block,code_block,,code_block,
1511,Toxin Ball Block,texture,exact,,,,,toxin_ball_block,,,,resolved,toxin_ball_block,toxin_ball_block,toxin_ball_block,,toxin_ball_block,
1512,Spawn Block (Yellow),texture,multi_face,yellow_spawn_block_top,yellow_spawn_block_side,,,,,,,resolved,yellow_spawn_block_top,yellow_spawn_block_side,,,yellow_spawn_block_side,
1513,Spawn Block (White),texture,multi_face,white_spawn_block_top,white_spawn_block_side,,,,,,,resolved,white_spawn_block_top,white_spawn_block_side,,,white_spawn_block_side,
1514,Spawn Block (Red),texture,multi_face,red_spawn_block_top,red_spawn_block_side,,,,,,,resolved,red_spawn_block_top,red_spawn_block_side,,,red_spawn_block_side,
1515,Spawn Block (Purple),texture,multi_face,purple_spawn_block_top,purple_spawn_block_side,,,,,,,resolved,purple_spawn_block_top,purple_spawn_block_side,,,purple_spawn_block_side,
1516,Spawn Block (Pink),texture,multi_face,pink_spawn_block_top,pink_spawn_block_side,,,,,,,resolved,pink_spawn_block_top,pink_spawn_block_side,,,pink_spawn_block_side,
1517,Spawn Block (Orange),texture,multi_face,orange_spawn_block_top,orange_spawn_block_side,,,,,,,resolved,orange_spawn_block_top,orange_spawn_block_side,,,orange_spawn_block_side,
1518,Spawn Block (Magenta),texture,multi_face,magenta_spawn_block_top,magenta_spawn_block_side,,,,,,,resolved,magenta_spawn_block_top,magenta_spawn_block_side,,,magenta_spawn_block_side,
1519,Spawn Block (Lime),texture,multi_face,lime_spawn_block_top,lime_spawn_block_side,,,,,,,resolved,lime_spawn_block_top,lime_spawn_block_side,,,lime_spawn_block_side,
1520,Spawn Block (Light Gray),texture,low,,,,,,,light_gray_spawn_block_side,light_gray_spawn_block_top,resolved,,,light_gray_spawn_block_side,,light_gray_spawn_block_side,
1521,Spawn Block (Light Blue),texture,low,,,,,,,light_blue_spawn_block_side,light_blue_spawn_block_top,resolved,,,,,light_blue_spawn_block_side,
1522,Spawn Block (Green),texture,multi_face,green_spawn_block_top,green_spawn_block_side,,,,,,,resolved,green_spawn_block_top,green_spawn_block_side,,,green_spawn_block_side,
1523,Spawn Block (Gray),texture,multi_face,gray_spawn_block_top,gray_spawn_block_side,,,,,,,resolved,gray_spawn_block_top,gray_spawn_block_side,,,gray_spawn_block_side,
1524,Spawn Block (Cyan),texture,multi_face,cyan_spawn_block_top,cyan_spawn_block_side,,,,,,,resolved,cyan_spawn_block_top,cyan_spawn_block_side,,,cyan_spawn_block_side,
1525,Spawn Block (Brown),texture,multi_face,brown_spawn_block_top,brown_spawn_block_side,,,,,,,resolved,brown_spawn_block_top,brown_spawn_block_side,,,brown_spawn_block_side,
1526,Spawn Block (Blue),texture,multi_face,blue_spawn_block_top,blue_spawn_block_side,,,,,,,resolved,blue_spawn_block_top,blue_spawn_block_side,,,blue_spawn_block_side,
1527,Spawn Block (Black),texture,multi_face,black_spawn_block_top,black_spawn_block_side,,,,,,,resolved,black_spawn_block_top,black_spawn_block_side,,,black_spawn_block_side,
1576,Checkpoint Block,texture,exact,,,,,checkpoint_block,,,,resolved,checkpoint_block,checkpoint_block,checkpoint_block,,checkpoint_block,
1580,Custom Lobby Block,texture,multi_face,custom_lobby_block_top,custom_lobby_block_side,,,,,,,resolved,custom_lobby_block_top,custom_lobby_block_side,,,custom_lobby_block_side,
1584,Generator Spawn Block (Red),texture,low,,,,,,,red_spawn_block_side,red_spawn_block_top,resolved,red_gen_spawn_top,red_gen_spawn_iron,red_gen_spawn_top,red_gen_spawn_coal,,
1585,Generator Spawn Block (Blue),texture,low,,,,,,,blue_spawn_block_side,blue_spawn_block_top,special,,,,,,
1586,Generator Spawn Block (Lime),texture,low,,,,,,,lime_spawn_block_side,lime_spawn_block_top,special,,,,,,
1587,Generator Spawn Block (Yellow),texture,low,,,,,,,yellow_spawn_block_side,yellow_spawn_block_top,special,,,,,,
1588,Generator Spawn Block (Cyan),texture,low,,,,,,,cyan_spawn_block_side,cyan_spawn_block_top,special,,,,,,
1589,Generator Spawn Block (White),texture,low,,,,,,,white_spawn_block_side,white_spawn_block_top,special,,,,,,
1590,Generator Spawn Block (Pink),texture,low,,,,,,,pink_spawn_block_side,pink_spawn_block_top,special,,,,,,
1591,Generator Spawn Block (Gray),texture,low,,,,,,,gray_spawn_block_side,gray_spawn_block_top,special,,,,,,
1592,Trader Shop Spawn Block,texture,low,,,,,,,shop_trader_spawn_face,shop_trader_spawn_side,special,,,,,,
1596,Wizard Shop Spawn Block,texture,low,,,,,,,shop_wizard_spawn_face,shop_wizard_spawn_side,resolved,shop_wizard_spawn_top,shop_wizard_spawn_side,shop_wizard_spawn_top,shop_wizard_spawn_face,,
1600,Generator Spawn Block (Diamond),texture,low,,,,,,,diamond_block,black_spawn_block_side,resolved,diamond_gen_spawn_top,diamond_gen_spawn_side,diamond_gen_spawn_top,diamond_gen_spawn_side,,
1601,Generator Spawn Block (Moonstone),texture,low,,,,,,,moonstone_block,black_spawn_block_side,resolved,moonstone_gen_spawn_top,moonstone_gen_spawn_side,moonstone_gen_spawn_top,,,
1602,Generator Spawn Block (Ore),texture,low,,,,,,,black_spawn_block_side,black_spawn_block_top,resolved,ore_gen_spawn_top,ore_gen_spawn_side,ore_gen_spawn_top,,,
1603,Goal Block (Red),texture,low,,,,,,,red_lucky_block,red_mushroom_block,resolved,explosive_paint_red_top,red_spawn_block_top,explosive_paint_red_top,red_spawn_block_top,,
1604,Goal Block (Blue),texture,low,,,,,,,blue_spawn_block_side,blue_spawn_block_top,resolved,explosive_paint_blue_top,blue_spawn_block_top,explosive_paint_blue_top,,,
1605,Finish Block,texture,exact,,,,,finish_block,,,,resolved,finish_block,finish_block,finish_block,,finish_block,
1606,Drop Location Block,texture,multi_face,drop_location_block_top,drop_location_block_side,,,,,,,resolved,drop_location_block_top,drop_location_block_side,drop_location_block_side,,,
1607,Obby Death Block,texture,exact,,,,,obby_death_block,,,,resolved,obby_death_block,obby_death_block,obby_death_block,,obby_death_block,
1608,Obby Absorb Block,texture,exact,,,,,obby_absorb_block,,,,resolved,obby_absorb_block,obby_absorb_block,obby_absorb_block,,obby_absorb_block,
1609,Obby Absorb Death Block,texture,exact,,,,,obby_absorb_death_block,,,,resolved,obby_absorb_death_block,obby_absorb_death_block,obby_absorb_death_block,,obby_absorb_death_block,
1610,Bone Block,texture,multi_face,bone_block_top,bone_block_side,,,,,,,resolved,bone_block_top,bone_block_side,bone_block_top,,,
1611,Pig Spawner Block,3d_model,high (exact),,,,,,Pig Spawner Block,,,special,,,,,,
1612,Cow Spawner Block,3d_model,high (exact),,,,,,Cow Spawner Block,,,special,,,,,,
1613,Sheep Spawner Block,3d_model,high (exact),,,,,,Sheep Spawner Block,,,special,,,,,,
1614,Cave Golem Spawner Block,3d_model,high (exact),,,,,,Cave Golem Spawner Block,,,special,,,,,,
1615,Draugr Zombie Spawner Block,3d_model,high (exact),,,,,,Draugr Zombie Spawner Block,,,special,,,,,,
1616,Draugr Skeleton Spawner Block,3d_model,high (exact),,,,,,Draugr Skeleton Spawner Block,,,special,,,,,,
1617,Empty Spawner Block,3d_model,high (exact),,,,,,Empty Spawner Block,,,special,,,,,,
1618,Frost Golem Spawner Block,3d_model,high (exact),,,,,,Frost Golem Spawner Block,,,special,,,,,,
1619,Frost Zombie Spawner Block,3d_model,high (exact),,,,,,Frost Zombie Spawner Block,,,special,,,,,,
1620,Frost Skeleton Spawner Block,3d_model,high (exact),,,,,,Frost Skeleton Spawner Block,,,special,,,,,,
1621,Snowy Messy Stone,texture,exact,,,,,snowy_messy_stone,,,,resolved,snowy_messy_stone,snowy_messy_stone,snowy_messy_stone,,snowy_messy_stone,
1622,Snowy Stone Slab,texture,low,,,,,,,slab_stone_side,snowy_messy_stone,resolved,snowy_messy_stone,snowy_messy_stone_side,snowy_messy_stone,,,
1628,Draugr Knight Spawner Block,3d_model,high (exact),,,,,,Draugr Knight Spawner Block,,,special,,,,,,
1629,Packed Snow,texture,exact,,,,,packed_snow,,,,resolved,packed_snow,packed_snow,packed_snow,,packed_snow,
1630,Carved Messy Stone,texture,exact,,,,,carved_messy_stone,,,,resolved,carved_messy_stone,carved_messy_stone,carved_messy_stone,,carved_messy_stone,
1631,Spectral Grass,3d_model,high (exact),,,,,,Spectral Grass,,,special,,,,,,
1632,Spectral Log,texture,exact,,,,,log_spectral,,,,resolved,log_spectral,log_spectral,log_spectral,,log_spectral,
1633,Barkless Spectral Log,texture,low,,,,,,,log_spectral,stripped_spectral_log,resolved,,,stripped_spectral_log,,stripped_spectral_log,
1635,Spectral Wood Planks,texture,low,,,,,,,planks_spectral,black_planks,resolved,,,,,planks_spectral,
